brand,product_name,month,category,retail_price,discounted_price,discount_percent,is_FK_Advantage_product,product_rating,overall_rating
,Salt N Pepper 13-019 Femme Taupe Boots Boots,December 2015,Footwear,4195.0,2050.0,51.13230035756854,False,,
,"Franck Bella FB127A Analog Watch  - For Boys, Men",December 2015,Watches,1250.0,999.0,20.080000000000002,False,,
,Get Glamr Stylish Boots,December 2015,Footwear,1999.0,499.0,75.03751875937968,False,,
,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",December 2015,Watches,1350.0,555.0,58.88888888888889,False,5.0,5.0
,Steppings Trendy Boots,December 2015,Footwear,1799.0,719.0,60.033351862145636,False,4.0,4.0
,Steppings Boots Boots,December 2015,Footwear,3199.0,2559.0,20.006251953735543,False,,
,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",December 2015,Watches,1499.0,999.0,33.3555703802535,False,,
,Do Bhai Boots,December 2015,Footwear,799.0,699.0,12.51564455569462,False,,
,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",December 2015,Watches,1095.0,595.0,45.662100456621005,False,,
,Steppings Boots Boots,December 2015,Footwear,3199.0,2559.0,20.006251953735543,False,,
,Steppings Trendy Boots,December 2015,Footwear,3499.0,2099.0,40.01143183766791,False,,
,Sam Stefy Boots,December 2015,Footwear,1050.0,449.0,57.23809523809524,False,,
,TEN TEN Women's Tan Mid Length Boots Boots,December 2015,Footwear,4495.0,1895.0,57.8420467185762,False,,
,Remson India Boots,December 2015,Footwear,3999.0,1999.0,50.01250312578145,False,,
,Get Glamr Dazzle Boots,December 2015,Footwear,3499.0,499.0,85.73878250928837,False,,
,"Jack Klein Goldjack Analog Watch  - For Boys, Men",December 2015,Watches,1999.0,262.0,86.89344672336168,False,5.0,5.0
,Dearfoams Boots,December 2015,Footwear,1820.0,1820.0,0.0,False,5.0,5.0
,"fastrack 38015PL01 Analog Watch  - For Men, Boys",December 2015,Watches,2495.0,2495.0,0.0,False,,
,Kielz Ladies Boots,December 2015,Footwear,2799.0,1299.0,53.59056806002144,False,,
,"A Avon PK_504 Analog Watch  - For Men, Boys",December 2015,Watches,2499.0,1249.0,50.020008003201276,False,,
,Kielz Ladies Boots,December 2015,Footwear,1999.0,999.0,50.025012506253134,False,,
,"Franck Bella FB0122DD Analog Watch  - For Men, Boys",December 2015,Watches,1299.0,1039.0,20.01539645881447,False,,
,Catwalk Boots,December 2015,Footwear,2095.0,999.0,52.31503579952267,False,,
,Rialto Boots,December 2015,Footwear,3295.0,2395.0,27.31411229135053,False,,
,Salt N Pepper 12-298 Taupe Boots,December 2015,Footwear,4395.0,2150.0,51.080773606370876,False,,
,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",December 2015,Watches,8995.0,7495.0,16.67593107281823,False,5.0,5.0
,Magnum Footwear Lifestyle Boots,December 2015,Footwear,5999.0,3199.0,46.67444574095683,False,,
,Steppings Trendy Boots,December 2015,Footwear,3599.0,2519.0,30.00833564879133,False,,
,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",December 2015,Watches,2499.0,599.0,76.03041216486595,False,,
,Steppings Trendy Boots,December 2015,Footwear,2199.0,1099.0,50.022737608003645,False,,
,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",December 2015,Watches,1990.0,699.0,64.87437185929649,False,,
,TSG Kelz Boots,December 2015,Footwear,2650.0,2650.0,0.0,False,,
